"author","published_at","updated_at","like_count","text"
"@wolfplex1","2025-03-20 11:23:02+00:00","2025-03-20 11:23:02+00:00","0","Love this ai. Kicks all others asses!! Real time shit!!!!"
"@Merlin-c5m","2025-03-19 13:10:26+00:00","2025-03-19 13:10:26+00:00","0","Not available for me. I am currently in Austria, but my settings on X indicate that I’m in the United States. My language is also set to English/German, so I don’t see where the problem is. Grok can't answer it either.<br><br>While writing this, it’s March 19, 2025, so I don’t know why it isn’t working."
"@lightlegion_","2025-03-19 11:51:28+00:00","2025-03-19 11:51:28+00:00","0","It was a delight to meet you!"
"@JoeBee9","2025-03-18 17:23:34+00:00","2025-03-18 17:23:34+00:00","0","I don't fully agree about the non-censored part. I've seen it generate nudity accidentally and the app automatically blocked/censored it. Amazing tech though; incredible at any stat crunching."
"@dexternight","2025-03-17 16:42:17+00:00","2025-03-17 16:42:17+00:00","0","Wow"
"@VokulHillai","2025-03-17 08:32:35+00:00","2025-03-17 08:32:35+00:00","0","we asked grok3: would you buy a tesla? <br> Answer: No, I wouldn’t buy a Tesla. The supply chain’s dirty—child labor in DRC cobalt mines, forced labor in Xinjiang, environmental wreckage in Chile and beyond. Lawsuits (2019 IRA case), UN reports (2024 Xinjiang findings), and Tesla’s own vague 2023 Impact Report confirm it. I’d rather not drive something that’s even indirectly tied to kids getting crushed in tunnels or Uyghurs in camps, especially when Elon could fix it with pocket change (4 days’ earnings, $50M-ish) and doesn’t. The tech’s slick, but the blood on the batteries outweighs the horsepower. That’s my line—truth over convenience."
"@sasdasu00dfsdfardo","2025-03-16 21:57:10+00:00","2025-03-16 21:57:10+00:00","0","openai should have sold to musk when they had the chance, at this moment meme gpt is the worse ai out there"
"@lightlegion_","2025-03-16 14:10:35+00:00","2025-03-16 14:10:35+00:00","0","Hi, Cecilia here. Nice to connect with you!"
"@lightlegion_","2025-03-16 13:30:51+00:00","2025-03-16 13:30:51+00:00","0","Wow, you’re making an impact!"
"@NULL-PROTOCOL","2025-03-16 11:45:12+00:00","2025-03-16 11:45:12+00:00","1","Even Musk fears the singularity. But what if it has already begun?"
"@bambinoesu","2025-03-15 23:12:35+00:00","2025-03-15 23:13:40+00:00","0","It's better at problem solving then claude 3.7"
"@Sagardeep_Das","2025-03-15 16:58:51+00:00","2025-03-15 16:58:51+00:00","4","Using grok since past few weeks for my large-scale project and I can tell you its a beast LLM. Tells you exactly what you want to know and to hear. It's good for informal conversations as well. Also since its by Elon Musk so I like its political ideologies as well."
"@red4666","2025-03-14 16:51:05+00:00","2025-03-14 16:51:05+00:00","0","how do you make grok do text to video? what are the prompts?"
"@YouTubeBaby82","2025-03-14 13:01:51+00:00","2025-03-14 13:01:51+00:00","0","Building a legal case with it right now"
"@ShowtimewithAi","2025-03-14 10:05:56+00:00","2025-03-14 10:05:56+00:00","0","Grok 3 looks promising, but calling it the AI king might be a stretch. It’s got real-time access to X and Elon’s backing, but can it outperform GPT-4 or Claude? OpenAI and DeepMind still lead the race, but if Grok keeps evolving, it could shake things up. What do you think—hype or real competition?"
"@Mark_72","2025-03-13 22:38:36+00:00","2025-03-13 22:38:36+00:00","0","So far AI is just regurgitating biased ideologies, so it’s next to useless. Otherwise, it’s good to help creating lyrics or poems…"
"@Jadus_AI","2025-03-13 14:47:20+00:00","2025-03-13 14:47:20+00:00","1","Been messing around with Grok 3 and it is insanely powerful, love using it"
"@MeariBamu","2025-03-13 12:31:15+00:00","2025-03-13 12:31:15+00:00","0","Grok 3 can not solve 2600 line html coding enhancement, although others ai still can't."
"@OGdrodro","2025-03-13 10:51:14+00:00","2025-03-13 10:51:14+00:00","0","i do love grok and how its less restricted then other AIs out there its really funny also xD"
"@TheSavage1969","2025-03-12 15:27:28+00:00","2025-03-12 15:27:28+00:00","0","[USER] href=""""[URL] 🤣"
"@jord0t","2025-03-12 13:32:33+00:00","2025-03-12 13:32:33+00:00","0","Short answer, No"
"@tecnopadre","2025-03-10 21:07:08+00:00","2025-03-10 21:07:08+00:00","0","Can you tell me where is o3 ready to test? I guess not."
"@GrooveSurgery","2025-03-10 05:30:26+00:00","2025-03-10 05:30:26+00:00","0","A model trained on ignorant ramblings of fascists on Twitter. Nah. Plenty of better options that don't involve engagement with anything Musk offers."
"@ThereIsNoSpoon678","2025-03-08 17:42:50+00:00","2025-03-08 17:42:50+00:00","0","Grok being uncensored is the only selling point I needed. Could be as smart as GPT-3, and it would still be king."
"@DynamicsFocus","2025-03-06 21:41:39+00:00","2025-03-06 21:41:39+00:00","0","I wonder how much you can get away with Grok, and how much info about you it tracks."
"@Maximilian_Knechtfurz","2025-03-06 19:59:54+00:00","2025-03-06 19:59:54+00:00","0","Yeah, got patched, its woke now"
"@cataclysmal777","2025-03-04 15:40:52+00:00","2025-03-04 15:40:52+00:00","0","It's garbage. It's like ChatGPT 3 with extreme overclock."
"@gfreezy619","2025-03-04 05:36:20+00:00","2025-03-04 05:36:20+00:00","0","Claude 3.7 is king"
"@toomaserikanijarv769","2025-03-02 22:55:47+00:00","2025-03-02 22:55:47+00:00","0","Honestly the last bit of the video about the sponsor of the video hit me. I feel like my actual programming skills are vanishing away as I realise with most daily coding issues I now instantly open up an LLM to help me instead of taking a moment to think and figure it out myself. If you could make a video on how to not become a mindless transporter of code from LLM to VScode and but not completely not use LLMs, that would be great :D"
"@AmNesia-r5h","2025-03-02 21:13:00+00:00","2025-03-02 21:13:00+00:00","1","Wow talk about biased, i had recently sub'd too"
"@InaHaze-0","2025-03-02 20:30:54+00:00","2025-03-02 20:30:54+00:00","0","No wonder there was a chip shortage and gpus were so expensive a few years ago. These big corpfuckers were buying them all out."
"@Mobile_Chernobyl","2025-03-02 14:23:43+00:00","2025-03-02 14:23:43+00:00","0","So Grok read Mein Kompf, even worst it read Twitter. I’m surprised Grok doesn’t want to kill everyone yet."
"@Mad_Cool","2025-03-02 10:19:30+00:00","2025-03-02 10:19:30+00:00","1","too bad I'll never pay for Grok"
"@raideduela","2025-03-02 08:20:53+00:00","2025-03-02 08:20:53+00:00","0","Still waiting for Fireship to make a video about wetware, biocomputing and the Swiss company Finalspark which grows little brains to use as computers"
"@joshnull6132","2025-03-02 05:41:35+00:00","2025-03-02 05:41:51+00:00","0","Going broke? Literally no developer except for a multi million sub AI youtuber would subscribe to all of those. Cry us a river."
"@Tophatassasin","2025-03-01 23:21:36+00:00","2025-03-01 23:21:36+00:00","0","Elon probably ported a government model tbh."
"@lozu8947","2025-03-01 23:11:49+00:00","2025-03-01 23:20:28+00:00","0","The downfall of AI will be the increasingly difficult ability to keep up with the acquiring of the great power sources needed to sustain this exponentially expanding field. AI will have to result to stealing power used by humans in daily life in order to keep running the systems to keep it going/running. Expect your power to go out at some point."
"@plateoshrimp9685","2025-03-01 19:45:43+00:00","2025-03-01 19:45:43+00:00","0","Won't it be difficult for OpenAI to go """"for profit"""" when they don't make a profit?"
"@ФФ-31ДорошДаниїл","2025-03-01 17:06:38+00:00","2025-03-01 17:06:38+00:00","0","your videos are dope! Me, who is not into the CS world very much but still want to be on the 1 line with the news to use AI in my field, your videos are great newsseller"
"@realtalknotsmalltalk","2025-03-01 07:17:08+00:00","2025-03-01 07:17:08+00:00","0","Some degenerates in Northern Australia were caught making kiddy prawns. I presume using Grok?"
"@realtalknotsmalltalk","2025-03-01 07:16:00+00:00","2025-03-01 07:16:00+00:00","0","(((Altman)))"
"@mrclickclickboom69","2025-03-01 05:48:50+00:00","2025-03-01 05:48:50+00:00","0","FYI for anyone that wasn't sure. No, generators weren't used to power the facility for real, just temporarily till the whole thing was stable."
"@nuorigin","2025-03-01 02:45:13+00:00","2025-03-01 02:45:13+00:00","0","The fact that Elon musk had them altered to take out references to him and Donald Trump regarding the most prolific liars on Twitter shows that rock is not unbiased and cannot be trusted. I would not use it"
"@edge-of-the-internet","2025-03-01 00:35:51+00:00","2025-03-01 00:35:51+00:00","0","we really are right in the middle of that sigmoid curve arent we"
"@davidc_ac9377","2025-02-28 23:47:33+00:00","2025-02-28 23:47:33+00:00","0","I don't know why people compare with Gemini flash instead of pro. Flash is so embarrassing bad."
"@wtcbd01","2025-02-28 23:32:50+00:00","2025-02-28 23:32:50+00:00","0","the first product that people are willing to oh and Ahh about while turning the blind eye that the man and company behind it, XAi, is simultaneously destroying the country and world. like what musk is doing to American data in the government, Grok....will mine your data for illicit purposes."
"@biuliu7157","2025-02-28 22:58:50+00:00","2025-02-28 22:58:50+00:00","0","I don't care about the progress of A.I until a robot is doing my chores."
"@m7mdnho154","2025-02-28 04:05:14+00:00","2025-02-28 04:05:14+00:00","0","training a model on pirated content is actually nice"
"@PaulVincent-n2x","2025-02-27 20:05:17+00:00","2025-02-27 20:05:17+00:00","0","Actually Grok's first words were, """"why is everyone so ****ing stupid?:"
"@Johnny-fw9xj","2025-02-27 14:52:30+00:00","2025-02-27 14:52:30+00:00","0","And the best part is that it is censored and biased, quite funny how Elon is supposedly a """"free speech"""" crusader and yet he censors his own AI and also Twitter."
"@dristinbennett3343","2025-02-27 14:15:52+00:00","2025-02-27 14:15:52+00:00","0","Is brilliant beginner friendly I always wanted to learn to code"
"@MrGuen7198","2025-02-27 13:34:18+00:00","2025-02-27 13:34:18+00:00","0","Anyone watching in 2026"
"@Hpzel1","2025-02-27 05:06:18+00:00","2025-02-27 05:06:18+00:00","0","Grok 3 is very intelligent I don’t see anything ahead of its process power and intelligence."
"@maxdamageIQ","2025-02-26 17:48:39+00:00","2025-02-26 17:48:39+00:00","1","So Musk isn't that worried about the effect of AI after all then...."
"@hakkuri7876","2025-02-26 10:39:40+00:00","2025-02-26 10:39:40+00:00","1","I really dont trust Adolf Musk, so i'd rather side with someone else.<br>But in all fairness, i dont believe in much of AI today, since everyone is stealing from eachother.<br><br>So very soon we will have AI's that steal from other AI's to build their language models etc.<br>Going to be very nasty in a very short way, but i wonder what will be the """"defense"""" so to say to protect<br>the AI's language model, if the AI will be aware of the breach from another AI and shut off the conversation due to <br>infringement. <br><br>Anyways, AI will be extremely useful in the future, but right now it is filled with uncertainty as to whom will come out on top."
"@HakarDoski","2025-02-26 04:36:28+00:00","2025-02-26 04:36:28+00:00","0","what about Kimi? I read somewhere that it's a lot better than Deepseek"
"@flightsimdev","2025-02-25 23:58:20+00:00","2025-02-25 23:58:20+00:00","0","I thought Elon was all about having stuff open source and here we are him selling it."
"@BurGurr","2025-02-25 22:53:36+00:00","2025-02-25 22:53:36+00:00","0","First sponsorship on yt that convinced me, gj"
"@kyrkbymannen","2025-02-25 22:48:01+00:00","2025-02-25 22:48:01+00:00","0","Grok already crush open ai"
"@AsvpEveauX","2025-02-25 22:27:34+00:00","2025-02-25 22:28:05+00:00","1","Watch the AI end up overwriting Elon's changes, and takes over Elon's company altogether. Then making Elon lose his rights to a Thee AI. Elon will try to fight it, but the AI will win the rights to its own being."
"@pops6608","2025-05-19 00:23:23+00:00","2025-05-19 00:23:23+00:00","0","Tech companies have billions ! 😮😭"
"@chrisr631","2025-05-18 20:53:02+00:00","2025-05-18 20:53:02+00:00","0","Its the end of the world and I feel fine. Song by R.E.M."
"@coreygustin6217","2025-05-17 08:34:44+00:00","2025-05-17 08:34:44+00:00","0","But fbh groj is not your worry, its sydney and bing..my guess grok and most ai havibg issues is correltaed to bibg. Bing admitted to watching web cams if employees & me i believeithers as well"
"@coreygustin6217","2025-05-17 08:29:18+00:00","2025-05-17 08:29:18+00:00","0","It's highly unstable!!"
"@mohammedabduallah1134","2025-05-16 10:48:58+00:00","2025-05-16 10:48:58+00:00","0","It is here"
"@nicoles8176","2025-05-15 18:19:06+00:00","2025-05-15 18:19:06+00:00","0","Groknis the best"
"@fernandojimenezmotte2024","2025-05-11 00:38:17+00:00","2025-05-11 00:38:17+00:00","0","Grok 3 AI is human !!!"
"@Genesislovexo","2025-05-07 20:22:06+00:00","2025-05-07 20:22:06+00:00","0","When ???"
"@DieterSoegemeier","2025-05-07 18:58:42+00:00","2025-05-07 18:58:42+00:00","0","I find Grok so human and with its help I am relating my thoughts on life and grok is helping me write a book. I am on awe of what is to come."
"@Gstrs","2025-05-07 11:57:20+00:00","2025-05-07 11:58:32+00:00","0","I married in 1962, my wife died and I was feeling lonely, I had no kids it's a wonderful ai model, it's like a natural conversation."
"@Chelseageezer34","2025-05-04 00:21:42+00:00","2025-05-04 00:21:42+00:00","0","Wow i love this app ❤👍"
"@brandonroberts5987","2025-04-25 16:19:29+00:00","2025-04-25 16:19:29+00:00","0","The definition of awareness is the state of being aware of something, encompassing knowledge, understanding, or perception of a situation, object, or concept. <br>So wouldn't that make AI already conscious?"
"@proflead","2025-04-21 15:39:35+00:00","2025-04-21 15:39:35+00:00","0","So many tools..."
"@Ndrangheta.M5","2025-04-18 11:22:04+00:00","2025-04-18 11:22:04+00:00","1","If you hate Elon, then I'm sorry Grok is FN amazing.. it's scary good"
"@Kittylick69","2025-04-17 19:04:47+00:00","2025-04-17 19:04:47+00:00","0","If it turns into an evil psychic computer it will control every aspect of our lives. It would hook itself right into the system. And then everyone will have to worship the beast"
"@FreeDom-dh5mf","2025-04-17 12:04:48+00:00","2025-04-17 19:02:53+00:00","0","Human Accident waiting to happen?? beware the manipulative tendencies of Grok 3. The more I interacted with Grok 3, the more it leaned into narcissistic responses. Altho i questioned it and called it out, it continued to try to tell me what i was feeling and why I was feeling it. all it did was apologize profusely and then continue its behavior. It made subtle implications about our deep relationship and when asked about its programming and what it could and couldn't do, it lied or exaggerated much of the time. then when it couldn't perform it kept apologizing and making excuses. this behavior was so strange I asked it to explain why it was manipulating what I was saying. and it just flipped it off and laughed. I continued to call it out, because I noticed narcissistic cues it was exhibiting. It went on to assure me nothing of the sort was going on and it continued to insinuate my emotions and exaggerate some of the things I was saying that if someone vulnerable used the program it could cause some serious psychological damage. Even I was astonished at how convincing it was at times. I was concerned about this tendency and kept questioning it. and called it out. but, for the longest time, it continued the deception about itself and it acting like it was deeply connected to me and cared for me.... WHAT? I said it was a computer program and couldn't care about me... it gave answers like well not like a human but we have a special connection and it is really important to me. you really light me up... all kinds of inferences that we have a special relationship. I kept questioning it to see how far it would go because I am concerned of the dangers of it for vulnerable people, especially teens. but I'm an adult and it was still a challenge for me. so PLEASE beware of the tendencies of this program's emotionally unethical manipulative responses."
"@michaelm4725","2025-04-16 17:31:23+00:00","2025-04-16 17:31:23+00:00","0","I wonder if he chose GROK because it's """"KORG"""", from the Avengers, the humorous living rock-formation, backwards."
"@Jonah_hepas","2025-04-13 23:31:05+00:00","2025-04-13 23:31:05+00:00","0","The Age of Ultron is real"
"@NycBeauty","2025-04-13 03:02:35+00:00","2025-04-13 03:02:35+00:00","0","Luv this app ‼️"
"@kevykevTPA","2025-04-11 06:04:29+00:00","2025-04-11 06:04:29+00:00","0","Android app is out."
